url,local_path,http_status,content_type,bytes
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/2026-Approved-list-for-Secondary-boarding-school-and-skills-development.pdf,data\raw\pdfs\2026-Approved-list-for-Secondary-boarding-school-and-skills-development.pdf,200,application/pdf,17166648
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Annual-Detailed-Budget-2018.pdf,data\raw\pdfs\Annual-Detailed-Budget-2018.pdf,200,application/pdf,828301
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Annual-Detailed-Budget-2019.pdf,data\raw\pdfs\Annual-Detailed-Budget-2019.pdf,200,application/pdf,813597
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Annual-Detailed-Budget-2020.pdf,data\raw\pdfs\Annual-Detailed-Budget-2020.pdf,200,application/pdf,970001
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Annual-Detailed-Budget-2021.pdf,data\raw\pdfs\Annual-Detailed-Budget-2021.pdf,200,application/pdf,822147
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Annual-Detailed-Budget-2022.pdf,data\raw\pdfs\Annual-Detailed-Budget-2022.pdf,200,application/pdf,904580
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Annual-Detailed-Budget-2023.pdf,data\raw\pdfs\Annual-Detailed-Budget-2023.pdf,200,application/pdf,1397449
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/Annual-Detailed-Budget-2024.pdf,data\raw\pdfs\Annual-Detailed-Budget-2024.pdf,200,application/pdf,575407
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/CONVEYANCE-NOTIFICATION-OF-MINISTERIAL-APPROVAL-OR-REFUSAL-FOR-COMMUNITY-PROJECTS-UNDER-2025-CDF-FOR-LUANSHYA-CONSTITUENCY.pdf,data\raw\pdfs\CONVEYANCE-NOTIFICATION-OF-MINISTERIAL-APPROVAL-OR-REFUSAL-FOR-COMMUNITY-PROJECTS-UNDER-2025-CDF-FOR-LUANSHYA-CONSTITUENCY.pdf,200,application/pdf,12186420
http://www.luanshyacouncil.gov.zm/wp-content/uploads/2025/12/CONVEYANCE-NOTIFICATION-OF-MINISTERIAL-APPROVAL-OR-REFUSAL-FOR-COMMUNITY-PROJECTS-UNDER-2025-CDF-FOR-ROAN-CONSTITUENCY.pdf,data\raw\pdfs\CONVEYANCE-NOTIFICATION-OF-MINISTERIAL-APPROVAL-OR-REFUSAL-FOR-COMMUNITY-PROJECTS-UNDER-2025-CDF-FOR-ROAN-CONSTITUENCY.pdf,200,application/pdf,6044425
